"id","name","location","st_asewkt"
59,"Burlington, VT, USA","0101000020E61000006E197096924D52C0A6608DB3E93C4640","SRID=4326;POINT(-73.212072 44.475882)"
60,"San Francisco, CA, USA","0101000020E6100000EB1C03B2D79A5EC06ADC9BDF30E34240","SRID=4326;POINT(-122.419415 37.774929)"
62,"Los Angeles, CA, USA","0101000020E6100000A661F888988F5DC0A0DE8C9AAF064140","SRID=4326;POINT(-118.243685 34.052234)"
63,"Shreveport, LA, USA","0101000020E610000058C9C7EE027057C0E9B6442E38434040","SRID=4326;POINT(-93.750179 32.525152)"
64,"McAllen, TX, USA","0101000020E6100000016C4084B88E58C008C72C7B12343A40","SRID=4326;POINT(-98.230012 26.203407)"
65,"Pittsburgh, PA, USA","0101000020E6100000D522A298BCFF53C06666666666384440","SRID=4326;POINT(-79.995886 40.440625)"
66,"Philadelphia, PA, USA","0101000020E6100000739CDB847BCA52C007EBFF1CE6F94340","SRID=4326;POINT(-75.163789 39.952335)"
68,"Fayetteville, NC, USA","0101000020E6100000850B790437B853C099D6A6B1BD864140","SRID=4326;POINT(-78.878358 35.052664)"
3308,"Baton Rouge, LA, USA","0101000020E610000062BEBC00FBC856C01250E10852753E40","SRID=4326;POINT(-91.14032 30.458283)"
73,"Saginaw, MI, USA","0101000020E6100000B4739A05DAFC54C099D36531B1B54540","SRID=4326;POINT(-83.950807 43.41947)"
76,"St. Louis, MO, USA","0101000020E610000043ACFE08C38C56C038BF61A241504340","SRID=4326;POINT(-90.199404 38.627003)"
78,"Montgomery, AL, USA","0101000020E610000016342DB1329355C030815B77F32E4040","SRID=4326;POINT(-86.299969 32.366805)"
80,"Baltimore, MD, USA","0101000020E6100000247EC51A2E2753C0DE1FEF552BA54340","SRID=4326;POINT(-76.612189 39.290385)"
81,"Johnson City, TN, USA","0101000020E610000037C1374D9F9654C00EA14ACD1E284240","SRID=4326;POINT(-82.353473 36.31344)"
86,"Detroit, MI, USA","0101000020E6100000516A2FA2EDC254C075012F336C2A4540","SRID=4326;POINT(-83.045754 42.331427)"
91,"Reno, NV, USA","0101000020E6100000BF982D5915F45DC0F1F09E03CBC34340","SRID=4326;POINT(-119.813803 39.529633)"
92,"Little Rock, AR, USA","0101000020E6100000738577B9881257C0EE0A7DB08C5F4140","SRID=4326;POINT(-92.289595 34.746481)"
94,"Appleton, WI, USA","0101000020E6100000EF8FF7AA951A56C07F677BF486214640","SRID=4326;POINT(-88.415385 44.261931)"
97,"Spokane, WA, USA","0101000020E6100000C5E3A25A445B5DC023A12DE752D44740","SRID=4326;POINT(-117.426047 47.65878)"
729,"Westwood, 1, LA 71357, USA","0101000020E610000061FD9FC37CD456C02DE92807B3174040","SRID=4326;POINT(-91.320115 32.185151)"
101,"Syracuse, NY, USA","0101000020E610000050A912656F0953C0EB1B98DC28864540","SRID=4326;POINT(-76.147424 43.048122)"
109,"Wilkes-Barre, PA, USA","0101000020E610000019AF795567F852C0444C89247A9F4440","SRID=4326;POINT(-75.881307 41.245915)"
114,"Beaumont, TX, USA","0101000020E61000003447567E198857C050FD834886143E40","SRID=4326;POINT(-94.126556 30.080174)"
748,"Worcester, MA, USA","0101000020E6100000D333BDC458F351C04B94BDA59C214540","SRID=4326;POINT(-71.802293 42.262593)"
42806,"Visalia, CA, USA","0101000020E610000040A20914B1D25DC09B1C3EE9442A4240","SRID=4326;POINT(-119.292058 36.330228)"
758,"Bridgeport, CT, USA","0101000020E61000009CFBABC77D4C52C02E910BCEE0974440","SRID=4326;POINT(-73.195177 41.186548)"
2906,"York, PA, USA","0101000020E6100000F6B4C35F932E53C0F698486936FB4340","SRID=4326;POINT(-76.727745 39.962598)"
790,"Fort Pierce, FL, USA","0101000020E610000068588CBAD61454C04EED0C535B723B40","SRID=4326;POINT(-80.325606 27.446706)"
3361,"Middlesex, NJ, USA","0101000020E6100000978FA4A4879F52C0B64B1B0E4B494440","SRID=4326;POINT(-74.492654 40.572603)"
100,"Cincinnati, OH, USA","0101000020E610000078B988EFC42055C081D07AF8328D4340","SRID=4326;POINT(-84.51202 39.103118)"
110,"Tampa, FL, USA","0101000020E6100000D89C8367429D54C02C6519E258F33B40","SRID=4326;POINT(-82.457178 27.950575)"
111,"Salt Lake City, UT, USA","0101000020E6100000BB0CFFE906F95BC0E63DCE3461614440","SRID=4326;POINT(-111.891047 40.760779)"
115,"Memphis, TN, USA","0101000020E61000001E8A027D228356C0EED11BEE23934140","SRID=4326;POINT(-90.04898 35.149534)"
118,"Fayetteville, AR, USA","0101000020E610000091628044138A57C04C35B39602084240","SRID=4326;POINT(-94.157426 36.062579)"
121,"New Orleans, LA, USA","0101000020E61000008527F4FA938456C06956B60F79F33D40","SRID=4326;POINT(-90.071532 29.951066)"
123,"Charleston, SC, USA","0101000020E61000001F48DE3994FB53C0C097C28366634040","SRID=4326;POINT(-79.930922 32.776566)"
131,"Buffalo, NY, USA","0101000020E61000007F349C3237B853C09351651877714540","SRID=4326;POINT(-78.878369 42.886447)"
133,"Savannah, GA, USA","0101000020E6100000D94125AE634654C00470B378B10A4040","SRID=4326;POINT(-81.099834 32.083541)"
135,"Seattle, WA, USA","0101000020E6100000CD3CB9A640955EC03BC5AA4198CD4740","SRID=4326;POINT(-122.332071 47.606209)"
42589,"Sarasota, FL, USA","0101000020E61000008E210038F6A154C0D23AAA9A20563B40","SRID=4326;POINT(-82.530653 27.336435)"
141,"Raleigh, NC, USA","0101000020E61000009D7FBBECD7A853C0F224E99AC9E34140","SRID=4326;POINT(-78.638179 35.77959)"
